,abstract_text
29953960," Deposition of calcium oxalate (CaOx) crystals in renal interstitium is one of the key factors that cause progressive inflammation in kidney stone disease. Macrophages are responsible for elimination of these crystals but their roles to worsen inflammatory process remain under-investigated. This study thus aimed to define roles of exosomes released from macrophages exposed to CaOx crystals in mediating subsequent inflammatory cascades. Macrophages were incubated with or without CaOx monohydrate (COM) crystals for 16 h and their exosomes were isolated. Quantitative proteomics using nanoLC-ESI-Qq-TOF MS/MS revealed 26 proteins with significantly altered levels in exosomes derived from COM-treated macrophages (COM-treated exosomes) comparing to those derived from the controlled macrophages (controlled exosomes). Protein network analysis showed that these altered proteins were involved in cytoskeleton and actin binding, calcium binding, stress response, transcription regulation, immune response and extracellular matrix disassembly. Functional investigations revealed that COM-treated exosomes enhanced IL-8 production from renal tubular cells, activated neutrophil migration, had increased (exosomal) membrane fragility, had greater binding capacity to COM crystals, and subsequently enhanced crystal invasion through extracellular matrix migration chamber. These data indicate that macrophage exosomes play important roles in inflammatory response to COM crystals and may be involved in crystal invasion in the renal interstitium."
29953959," The aim of this work was to assess the effects of manganese (Mn) toxicity on the proteome of tomato roots using two proteomic approaches, shotgun and two-dimensional electrophoresis. The shotgun approach yielded 367 reliable proteins, whereas the 2-DE approach detected 340 consistent spots. The 2-DE method found 54 proteins changing in relative abundance in the excess Mn treatment, whereas the shotgun detected changes in 118 proteins. Only 7% of the differential proteins were found by both methods, illustrating their complementary nature. Metabolic pathways most affected were protein metabolism, oxido-reductases and signaling. Results support that Mn toxicity alters the protein turnover and impairs energy production in roots, leading to changes in glycolysis, pyruvate metabolism, TCA and oxidative phosphorylation. Excess Mn also induced changes in peroxidases and hydrolases participating in cell wall lignification and suberization and activated plant defense mechanisms, with changes occurring via pathogenesis-related proteins as well as peroxidases. Finally, Mn toxicity elicited regulatory mechanisms and affected the abundance of root nutrient reservoir proteins. The overall analysis of the differential root proteome upon Mn toxicity suggests a general slowdown of metabolic activities especially energy production, cell wall integrity and protein turnover which occurs in parallel with increases in stress related proteins."
29953958," Amyloidosis is a group of diseases characterized by an irreversible and extracellular deposition of fibrillar, amorphous protein known as amyloid in different organs and tissues. Amyloid deposits may occur locally in tissues or may involve various organs, resulting in a wide range of clinical manifestations. Amyloidosis of the head and neck is rarely seen and can reflect some plasma cell dyscrasia that affects B lymphocytes. Deposition of amyloid on the tongue is very rare and accounts for less than 9% of all types of amyloidosis. Amyloid involvement of the tongue is almost always secondary to systemic amyloidosis. We report a 73-year-old female who presented with weight loss and macroglossia. Firstly, she was diagnosed only with amyloidosis of the tongue. Her general health condition was evaluated, revealing renal dysfunction, anemia, hypercalcemia, and hyperphosphatemia. The final diagnosis was systemic amyloidosis with multiple myeloma. The patient was referred for emergency hemodialysis and chemotherapy. Her condition progressed to congestive heart failure and recurrent urinary and respiratory infections. After 100 days from diagnosis, the patient died by pulmonary infection as a consequence of her weakened state of health. It is important to highlight role of the dentist especially oral pathologist to the evaluation of local alterations that may reflect systemic deterioration of patients."
29953957," Small and medium-sized enterprises (SMEs) are an important source of innovative medicines. Compared with their larger counterparts, they experience challenges as a result of insufficient human and financial resources that can hamper drug development and regulatory compliance. This analysis reviews the profile of major objections raised in applications for medicines for human use submitted by SMEs to the European Medicines Agency between 2011 and 2015 and their impact on the outcome of applications. It showed that SMEs experience challenges in the quality (e.g., manufacturing process validation and on control and/or characterisation data of drug substance or drug product) and the clinical sections of marketing authorisation applications (e.g., analysis or robustness of pivotal data or selection of submitted studies, study design issues and marginal or no clinical relevant efficacy), with deficiencies in demonstrating clinical efficacy representing the major eventual hurdles to authorisation."
29953955," The electrophysiological features and roles of persistent left superior vena cava (PLSVC) in supraventricular tachycardia (SVT) are not known. To elucidate the electrophysiological features and roles of PLSVC in patients with SVT. We included 37 patients (age: 43.5 ± 17.1 years; men: 35.1%) with PLSVC and 510 patients (age: 43.9 ± 18.8 years; men: 48.2%) without PLSVC who underwent an electrophysiological study for SVT. The number of induced tachycardias, location of the slow pathway (SP) or accessory pathway (AP), and radiofrequency catheter ablation (RFCA) outcomes were compared between patients with and without PLSVC. During RFCA of the left AP, a coronary sinus (CS) catheter was placed into the left superior vena cava (LSVC group) or the great cardiac vein (GCV group). The RFCA outcomes were compared between the groups. In the patients with PLSVC, 40 tachycardias were induced: atrioventricular nodal reentrant tachycardia (AVNRT) (n = 19), atrioventricular reentrant tachycardia (n = 17), and focal atrial tachycardia (n = 4). Among patients with AVNRT, an SP in the CS was significantly more frequent in patients with PLSVC than in those without PLSVC (47.4% versus 3.8%, P < .001). In patients with the left AP, the number of RFCA attempts and recurrence were lower in the GCV group than in the LSVC group. An SP in the CS is prevalent in patients with AVNRT and PLSVC. It is useful to place a CS catheter into the great cardiac vein in patients with a left AP and PLSVC."
29953954," Various risk stratifications in asymptomatic patients with Brugada syndrome (BrS) have been proposed, but the electrophysiological change that promotes ventricular fibrillation (VF) is still unknown. The aim of this study was to clarify the changes of ECG at the onset of VF compared to ECGs recorded when patients were still asymptomatic. The subjects were composed of 14 patients with VF and 48 consecutive asymptomatic patients with BrS. We compared ECGs before the initial VF (>6 months, early phase) with ECGs at the initial VF episode (late phase). In asymptomatic patients, we evaluated ECGs at two time points with an interval of more than 6 months. We evaluated various ECG markers including type 1 ECG, fragmented QRS (fQRS, multiple spikes within the QRS complex). ECG parameters of the early and late phases were not different except for decreased ST level and low incidence of type 1 ECG in asymptomatic patients. There were no differences in ECG parameters of the early phase between VF and asymptomatic patients. In VF patients, ECG at the late phase had longer QRS and Tpeak-Tend (Tpe) intervals and more frequent type 1 ECG and fQRS than did ECG at the early phase. Those changes were associated with initial VF events (odds ratio [OR]: QRS widening: 11.5, p<0.01, Tpe: 11.6, p<0.01, fQRS: 15.3, p<0.01, type 1 ECG: 6.6, p<0.05). QRS and ST-T abnormalities developed in association with the initial VF onset. Aggravation of the conduction disturbance in addition to BrS-ECG promotes VF."
29953953," Since the 1950's, hydrocephalus can be treated with cerebrospinal fluid shunts, usually to the peritoneal cavity or to the right cardiac atrium. However, due to their siphoning effect, these shunts lead to non-physiological cerebrospinal fluid drainage, with possible co-morbidity and high revision rates. More sophisticated shunt valve systems significantly increase costs and technical complexity and remain unsuccessful in a subgroup of patients. In an attempt to obtain physiological cerebrospinal fluid shunting, many neurosurgical pioneers shunted towards the dural sinuses, taking advantage of the physiological anti-siphoning effect of the internal jugular veins. Despite several promising reports, the ventriculosinus shunts did not yet become standard neurosurgical practice. In this mono-centric prospective clinical study, we implanted the retrograde ventriculosinus shunt, as advocated by El-Shafei, in 10 patients. This article reports on our operation technique and long-term outcome, including 4 patients in whom this shunt was implanted as a rescue. Implantation of a ventriculosinus shunt proved to be a feasible technique, warranting physiological drainage of cerebrospinal fluid. However, only in 3 out of 14 patients, functionality of the retrograde ventriculosinus shunt was maintained during more than 6 years follow-up. In our opinion, these shunts fail because present venous access devices are difficult to implant correctly and get too easily obstructed. After discussing possible causes of this frequent obstruction, a new dural venous sinus access device is presented. An easy to implant and thrombogenic-resistant dural venous sinus access device needs to be developed before ventriculosinus shunting can become general practice."
29953952," Emerging evidence indicates that vitamin D has anti-oxidative properties. The present study investigates whether serum 25‑hydroxyvitamin D [25(OH)D] is associated with biomarkers of anti-oxidative status in community-dwelling older adults using cross-sectional and longitudinal data. A total of 302 subjects aged 62 to 92 years from Germany (50.6°N) were analysed via cross-sectional approach. For longitudinal analysis, data of 153 subjects were available. Fasting blood samples from 2004 and 2012 were analysed for 25(OH)D concentrations, total anti-oxidative status (TAOS) as well as anti-oxidative enzymes, such as catalase (CAT), glutathione peroxidase (GPx) and superoxide dismutase (SOD). Multiple regression analyses were performed to examine the associations between 25(OH)D and parameters of anti-oxidative status. In cross-sectional analyses, 25(OH)D was a significant predictor of CAT (β = -0.166; P = 0.010), lg The maintenance of an adequate vitamin D status may have a beneficial impact on the anti-oxidative defence system in older adults on a long-term perspective."
29953951," Arterial stiffness increases with advancing age, and is as an emerging biomarker in the assessment of vascular health. Some studies suggest that high-intensity resistance training increases arterial stiffness, but low- to moderate-intensity resistance training does not effect on arterial stiffening. Current evidence suggests that performing aerobic exercise after resistance training improved arterial stiffness in the young men and women. However, few studies have been conducted on the effects of the order of combined training on arterial stiffness in the elderly. The purpose of this study was to examine the effects of exercise order of combined aerobic and resistance training into the same session on body composition, muscle strength and arterial stiffness in older men. Forty-five older men (aged 70.5 ± 3.5 years) were randomly assigned to 3 groups; AR: aerobic before resistance training, RA: resistance before aerobic training and CON: no training. Subjects trained 2 times per week for 10 weeks. Resistance training consisted of 3 sets of 8-12 repetitions for 5 different exercises, 70-80% of one repetition maximum (1RM). Aerobic exercise consisted of cycling at 60% of heart rate reserve (HRR). Significant interaction effects were observed in waist circumference (P < 0.01), grip strength (P < 0.01), 10-m walk speed (P < 0.05) and 1RM strength (P < 0.01). However, no significant differences were observed between AR and RA. In contrast, pulse wave velocity (PWV) significantly reduced in the RA (9.0 ± 1.6 m/s to 8.0 ± 1.6 m/s, P < 0.05), whereas, it did not change in the AR, and there was a significant group difference (P < 0.05). In conclusion, no effects of the exercise order were observed in body composition, physical fitness and muscle strength. However, aerobic exercise after high-intensity resistance training reduced arterial stiffness and difference of exercise order was observed. We suggest that the exercise order may favorably affect arterial stiffness when combined aerobic exercise and high-intensity resistance training is performed into the same session."
29953950," A growing body of research in elderly populations suggests that the early phase of an explosive muscle contraction (i.e., ≤200 ms) may be more functionally relevant than peak values. However, age-related variation in early phase explosive strength has never been investigated across the full-adult life span. This cross-sectional study investigated the age-related changes in the rate of power development (RPD) and compared it to the changes in peak power (P"
29953949," Wilson's storm-petrels (Oceanites oceanicus) are the smallest marine birds breeding in Antarctica, where events like snowstorms often prevent parents from providing food daily for their offspring. To minimize energy expenses, Wilson's storm-petrel chicks can reduce their metabolism and body temperature by entering hypothermia. Hypothermia is reported to impact development, hence we hypothesized that hypothermia will be majorly used after long fasting periods. Chick development in a breeding colony of Wilson's storm-petrels on the South Shetland Islands was monitored daily during three consecutive summers by recording chicks' body mass and temperature, as well as environmental parameters. Provisioning, and body conditions were highest in 2017, and chicks became hypothermic most frequently in 2016. Body temperature was influenced by age, mass, body condition, and minimal nocturnal temperatures. While most chicks were able to maintain stable body temperatures when not fed for one day, some chicks' body temperatures decreased by up to 21 °C. Age did not differ between those two groups, but chicks maintaining their active body temperatures had higher body conditions. Snowstorms were typically followed by several days of unreliable food provisioning and continuous days of fasting. Most chicks were hypothermic during this time, and were hence able to survive periods of food shortages, reverse their low body temperatures after the next feeding event, and regain body mass. We conclude that hypothermia is a strong survival strategy to endure times of fasting, which might be necessary for Antarctic storm-petrel chicks to reach adulthood. However, in future scenarios, which may include more frequent snowstorms due to climate change, malnourishment could lead to more frequent use of hypothermia, which could affect chicks' development."
29953948," Along with its outstanding antidepressant effect, electroconvulsive shock (ECS) can induce learning and memory impairment. Propofol and ketamine have shown to be useful in alleviating the learning and memory impairment. Nevertheless, the mechanism still remains unclear. This study investigated the role of NMDA receptor (NMDAR)-mediated metaplasticity in the learning and memory impairment induced by ECS, as well as the neuroprotective effect of propofol and ketamine in depressive rats. Rats received ECS or ECS under anesthetics after chronic unpredictable mild stress procedure. Long-term potentiation (LTP) was tested by extracellular recording. LTD/LTP threshold was assessed by stimulation of different frequencies. Additionally, NMDAR-mediated field excitatory postsynaptic potential (fEPSP) and NMDAR input/output relationship were detected under hippocampal slice perfusion. Results showed that propofol or low-dose ketamine could partially alleviate ECS-induced LTP impairment, while propofol combined with low-dose ketamine almost reversed the LTP impairment. LTP under ECS was increased by stronger stimulation. ECS could up-regulated LTD/LTP threshold, while propofol or ketamine could down-regulate it. Moreover, ECS activated NMDAR, while propofol and ketamine could inhibit the activation of NMDAR. NMDAR input/output relationship decrease was induced by preconditioning (an analog of ECS in hippocampal slice), however, NMDAR input/output relationship increased by propofol or ketamine. In conclusion, ECS-induced cognitive impairment is caused by NMDAR-mediated metaplasticity via up-regulation of LTD/LTP threshold. Propofol or ketamine alleviates the cognitive impairment, possibly by down-regulating the threshold via inhibition of NMDAR activation induced by ECS."
29953947," Online educational materials are largely disseminated through videos, and yet there is little understanding of how these videos engage students and fuel academic success. We hypothesized that components of the electroencephalogram (EEG), previously shown to reflect video engagement, would be predictive of academic performance in the context of educational videos. Two groups of subjects watched educational videos in either an intentional learning paradigm, in which they were aware of an upcoming test, or in an incidental learning paradigm, in which they were unaware that they would be tested. ""Neural engagement"" was quantified by the inter-subject correlation (ISC) of the EEG that was evoked by the videos. In both groups, students with higher neural engagement retained more information. Neural engagement also discriminated between attentive and inattentive video viewing. These results suggest that this EEG metric is a marker of the stimulus-related attentional mechanisms necessary to retain information. In the future, EEG may be used as a tool to design and assess online educational content."
29953946," Factor H binding protein (fHbp) is the most promising vaccine candidate against serogroup B of Neisseria meningitidis which is a major cause of morbidity and mortality in children. In order to facilitate large scale production of a commercial vaccine, we previously used transgenic Arabidopsis thaliana, but plant-derived fHbp is still far away from a commercial vaccine due to less biomass production. Herein, we presented an alternative route for the production of recombinant fHbp from the seeds of transgenic rice. The OsrfHbp gene encoding recombinant fHbp fused protein was introduced into the genome of rice via Agrobacterium-mediated transformation. The both stable integration and transcription of the foreign OsrfHbp were confirmed by Southern blotting and RT-PCR analysis respectively. Further, the expression of fHbp protein was measured by immunoblotting analysis and quantified by ELISA. The results indicated that fHbp was successfully expressed and the highest yield of fHbp was 0.52 ± 0.03% of TSP in the transgenic rice seeds. The purified fHbp protein showed good antigenicity and immunogenicity in the animal model. The results of this experiment offer a novel approach for large-scale production of plant-derived commercial vaccine fHbp."
29953945," Systemic sclerosis is a progressive inflammatory disease that is frequently fatal and has limited treatment options. High-dose chemotherapy with autologous hematopoietic cell transplantation (AHCT) has been evaluated as treatment for this disease in observational studies, multicenter randomized controlled clinical trials, and meta-analyses. On behalf of the American Society for Blood and Marrow Transplantation (ASBMT), a panel of experts in transplantation and rheumatology was convened to review available evidence and make a recommendation on AHCT as an indication for systemic sclerosis. Three randomized trials have compared the efficacy of AHCT with cyclophosphamide only and all demonstrated benefit for the AHCT arm for their primary endpoint (improvement in ASSIST, event-free survival in ASTIS trial and change in global rank composite score in SCOT trial). AHCT recipients also had better overall survival and a lower rate of disease progression. These findings have been confirmed in subsequent meta-analyses. Based on this high-quality evidence, the ASBMT recommends systemic sclerosis be considered as ""standard of care"" indication for AHCT. Close collaboration between rheumatologists and transplant clinicians is critical for optimizing patient selection and patient outcomes. Transplant centers in the United States are strongly encouraged to report patient and outcomes data to the Center for International Blood and Marrow Transplant Research on their patients receiving AHCT for this indication."
29953943," Serotonin (5-HT), a well-known neurotransmitter in the brain, also plays an important role in peripheral tissues, including the immune system. There is a growing body of evidence suggesting that many different types of immune cells express the machinery to generate, store, respond to and/or transport serotonin, including T cells, macrophages, mast cells, dendritic cells and platelets. In addition, there is emerging evidence of a possible connection between T cells, serotonin and mood disorders. How 5-HT interacts with the peripheral immune system and if this signaling is associated with behavioral phenotypes found in mood disorders like major depressive disorder (MDD) is not well understood. In this review, we summarize the existing literature on what is known about the link between 5-HT and the immune system and the effects of 5-HT signaling on different cells of the peripheral immune system, with a particular focus on T cells. In addition, we review the current evidence that peripheral immune system alterations and CNS function may be interrelated and the possible implications of these findings for drug discovery."
29953942," Prenatal drug exposure, including cocaine, alcohol, marijuana, and tobacco, is associated with deficits in behavioral regulation and attention. Using fMRI, the objective of this study was to characterize the association between prenatal cocaine exposure (PCE) and the underlying neural substrates associated with behavioral outcomes of attention. Forty-seven young adults were recruited for this study from the ongoing Maternal Health Practices and Child Development (MHPCD) Project, a longitudinal study of the effects of PCE on growth, behavior, and cognitive function. Three groups were compared: 1) prenatal exposure to cocaine, alcohol, marijuana, and tobacco (CAMT, n = 15), 2) prenatal exposure to alcohol, marijuana, and tobacco (AMT, n = 17), and 3) no prenatal exposure to drugs (Controls, n = 15). Subjects were frequency matched on gender, race, handedness, and 15-year IQ. This study used the theoretical model proposed by Posner and Peterson (1990), which posits three dissociable components of attention: alerting, orienting, and executive attention. Subjects completed a functional MRI (fMRI) scan while performing the Attention Network Task, a validated neuroimaging measure of the 3-network model of attention. Behavioral and fMRI data revealed no associations between PCE and task accuracy, speed of processing, or activation in key brain regions associated with each of the attention networks. The results of this study show that any subtle differences in brain function associated with PCE are not detectable using the ANT task and fMRI. These results should be interpreted in the context of other studies that have found associations between PCE and arousal with emotionally arousing stimuli, compared to this study that found no associations using emotionally neutral stimuli."
29953941," The World Health Assembly Palliative Care Resolution in 2014 and the inclusion of palliative care within the Sustainable Development Goals raised optimism that palliative care would no longer be a peripheral aspect of global health. However, no funding, accountability measures or indicators for palliative care development accompanied these policy developments. This risks health actors continuing to prioritise the attainment of better known, target-driven aspects of healthcare. To explore the attitudes of international palliative care experts regarding how the future development of palliative care can be accelerated. Sixteen international palliative care experts were interviewed for their epistemic expertise. Participants were interviewed face to face or via skype. Interviews were recorded, transcribed non-verbatim and analysed using a thematic approach (NVIVO). Participants strongly supported the rollout of national palliative care policies around the world for two reasons: 1) to ensure palliative care attracts national funding streams and 2) to attract global funding for palliative care. The absence of a global indicator for palliative care development was considered a severe impediment to the inclusion of palliative care within global efforts towards Universal Health Care (UHC). Advocacy partnerships, using human rights approaches with economic 'frames', were considered the most effective methods of influencing policymakers. Palliative care represents a value proposition which is not currently being maximised by advocacy. Advocates should consider palliative care developmentally, focussing upon 'key asks' for development and consider how palliative care can contribute to other international development priorities, in particular poverty reduction."
29953940," Few patients with dysphagia due to stroke receive early palliative care to align treatment goals with their values, as called for by practice guidelines, particularly before enteral access procedures for artificial nutrition. To increase documented goals of care (GOC) discussions among acute stroke patients prior to feeding gastrostomy tube placement. We undertook a rapid-cycle continuous quality improvement (CQI) process with interdisciplinary planning, implementation, and performance review to operationalize an upstream trigger for palliative care referral prompted by the speech and language pathology evaluation. Over a 6-month period, 21 patients underwent gastrostomy tube placement; 52% had pre-procedure GOC discussions post-intervention, with the rate of compliance increasing steadily from 13% (11/87, pre-intervention) to 100% (2/2) in the final 2 months. We effectively increased documented GOC discussions prior to feeding gastrostomy tube placement among stroke patients. Systems-based tools and education will enhance this upstream trigger model to ensure early palliative care for stroke patients."
29953938," The analysis of evolutionary information in a protein family, such as conservation and covariation, is often linked to its structural information. Multiple sequence alignments of distant homologous sequences are used to measure evolutive variables. Although high structural differences between proteins can be expected in such divergent alignments, most works linking evolutionary and structural information use a single structure ignoring the structural variability inside a protein family. The goal of this work is to elucidate the relevance of structural divergence when sequence-based measures are integrated with structural information. We found that inter-residue contacts and solvent accessibility undergo large variations in a protein family. Our results show that high covariation scores tend to reveal residue contacts that are conserved in the family, instead of protein or conformer specific contacts. We also found that residue accessible surface area shows a high variability between structures of the same family. As a consequence, the mean relative solvent accessibility of multiple structures correlates better with the conservation pattern than the relative solvent accessibility of a single structure. We conclude that the use of comprehensive structural information allows a more accurate interpretation of the information computed from sequence alignments. Therefore, considering structural divergence would lead to a better understanding of protein function, dynamics, and evolution."
29953937," The prevalence of unrecognised cryptic species impairs biodiversity estimates, clouds biological research and hinders conservation planning. As the rate of cryptic species detection increases globally, research is needed to determine how frequent cryptic species are, whether they are more common in given management regions, and whether these patterns are consistent across taxonomic groups. The Kimberley region in remote northwestern Australia harbours some of the most speciose, and morphologically and functionally diverse, endemic animal and plant communities on the continent. The rugged and changeable landscape also appears to contain a large proportion of cryptic terrestrial species, raising the question of whether similar patterns are also found among aquatic taxa, which have yet to be studied using integrative systematic approaches. If true, then the actual levels of aquatic biodiversity are yet to be fully realised. Here we conducted a molecular assessment of where species boundaries may exist in the Kimberley regions' most speciose freshwater fish family, the Terapontidae (grunters), with a combined morphological assessment of the regions' most speciose terapontid genus, Syncomistes. Assessment of nuclear markers (54 allozyme loci), sequence data (mitochondrial cytochrome b (cytb); nuclear recombination activation gene one (RAG1)) and 31 meristic and 36 morphometric characters provides evidence for 13 new candidate species across three different genera. Many of these candidate species are narrow range endemics. Our findings raise several questions about the evolutionary origin of the Kimberley's endemic fish fauna and highlight the likelihood that freshwater fish species diversity in the Kimberley is severely under-represented by current systematic frameworks, with significant implications for ecological research, conservation and management."
29953936," Substance use disorders (SUD) are diseases of the brain, characterized by aberrant functioning in the neural circuitry of the brain. Resting state functional connectivity (rsFC) can illuminate these functional changes by measuring the temporal coherence of low-frequency fluctuations of the blood oxygenation level-dependent magnetic resonance imaging signal in contiguous or non-contiguous regions of the brain. Because this data is easy to obtain and analyze, and therefore fairly inexpensive, it holds promise for defining biological treatment targets in SUD, which could help maximize the efficacy of existing clinical interventions and develop new ones. In an effort to identify the most likely ""treatment targets"" obtainable with rsFC we summarize existing research in SUD focused on 1) the relationships between rsFC and functionality within important psychological domains which are believed to underlie relapse vulnerability 2) changes in rsFC from satiety to deprived or abstinent states 3) baseline rsFC correlates of treatment outcome and 4) changes in rsFC induced by treatment interventions which improve clinical outcomes and reduce relapse risk. Converging evidence indicates that likely ""treatment target"" candidates, emerging consistently in all four sections, are reduced connectivity within executive control network (ECN) and between ECN and salience network (SN). Other potential treatment targets also show promise, but the literature is sparse and more research is needed. Future research directions include data-driven prediction analyses and rsFC analyses with longitudinal datasets that incorporate time since last use into analysis to account for drug withdrawal. Once the most reliable biological markers are identified, they can be used for treatment matching, during preliminary testing of new pharmacological compounds to establish clinical potential (""target engagement"") prior to carrying out costly clinical trials, and for generating hypotheses for medication repurposing."
29953935," Chronic heavy methamphetamine use likely causes dopaminergic neurotoxicity, which is commonly thought to result in cognitive control deficits. Both of these alterations may persist even after the use is discontinued, but tend to (partly) improve with increasing duration of abstinence. While several studies have demonstrated that the reinstatement of comparatively normal dopaminergic signaling may take months, if not years, the amelioration of cognitive deficits has predominantly been investigated in much shorter intervals of several weeks to less than half a year. Against this background, we set out to investigate the effects on prolonged abstinence in n = 27 abstinent former methamphetamine users in a cross-sectional design using behavioral and neurophysiological measures of cognitive control. Our behavioral results suggest that former users struggled to identify and adapt to different degrees of cognitive control requirements, which made their behavioral performance less expedient than that of healthy controls. On the neurophysiological level, this was reflected by reduced modulations of the N2-N450 amplitude in response to high vs. low cognitive control requirements. Yet, those effects could only be observed in methamphetamine users who had been abstinent for a relatively short time (mean 9.9; max. 18 months), but not in former users who had been abstinent two years or longer. While this finding alone does not allow for causal inferences, it suggests that the amelioration of control deficits may take longer than what is commonly investigated (1-6 months). Hence, some of the statements about permanent/irreversible dopamine-dependent executive dysfunctions in former methamphetamine users should be interpreted with caution."
29953934," Repetitive transcranial magnetic stimulation (rTMS) is an effective clinical intervention for various neuropsychiatric diseases. However, it is still unclear whether rTMS has an effect on cognitive functioning. In this review, we aimed to systematically evaluate the cognitive effects of rTMS in depression, schizophrenia, and Alzheimer's disease. We searched PubMed (1996-2018) under the set terms to review randomized controlled trials (RCT) to examine the effectiveness of rTMS administered to the dorsolateral prefrontal cortex (DLPFC) and evaluated cognitive functions in patients with depression, schizophrenia, and Alzheimer's disease. Two authors reviewed each article and came to consensus on the inclusion and exclusion criteria. All eligible studies were reviewed, duplicates were removed, and data were extracted individually. The search identified 579 articles, 31 of which met inclusion and exclusion criteria. Among them, 15 were conducted in patients with depression, 11 in patients with schizophrenia, and 5 in patients with Alzheimer's disease. Specifically, 6 studies demonstrated a significant improvement of executive function across these diseases. Further, no evidence for cognitive adverse effects was found in these included rTMS studies. Although the heterogeneity between studies in terms of cognitive measures applied, stimulation parameters, and participants limits the ability to generalize conclusions, this review demonstrated that prefrontal rTMS could exert pro-cognitive effects on executive function and attention in some patients with depression but inconsistent cognitive impacts in any of the examined domains especially in patients with schizophrenia and Alzheimer's disease. The results warrant further rTMS studies that include systematic assessment of cognition across various neuropsychiatric diseases."
29953933," Antipsychotic drugs are the primary treatment for psychosis, yet individual response to their administration remains variable. At present, no biological predictors of response exist to guide clinicians as they select treatments for patients, and our understanding of the neurobiology underlying the heterogeneity of outcomes remains limited. Magnetic Resonance Imaging (MRI) has been applied by numerous studies to examine the response to antipsychotic treatment, though a large gap remains between their results and our clinical practice. To advance patient care with precision medicine approaches, prior work must be accounted for and built upon with future studies. This review provides an overview of studies that relate treatment outcome to various MRI-related measures, including structural, spectroscopic, diffusion tensor, and functional imaging. Knowledge derived from these studies will be discussed along with future directions for the field."
29953932," To evaluate the diagnostic potential based on histogram analysis of IVIM parameters between uterine cervical cancers (CC) - normal myometrium (Myo) versus CC - gluteus maximus muscle (GM) and to study the feasibility of histogram analysis of IVIM parameters to differentiate the early from locally advanced stage CCs. 64 patients with pathologically confirmed CC were enrolled. Histogram indices mean, median, 25th, and ð 75th percentile of apparent diffusion coefficient (ADC), true diffusion coefficient (D), pseudo-diffusion coefficient (D*), and perfusion fraction (f) value of entire tumor were statistically analyzed and compared between CC - GM versus CC - Myo, as well as between early and locally advanced stage CCs. A multivariate analysis was performed to identify indices that could best distinguish early from locally advanced stage CC. Receiver operating characteristic curves (ROC) were used to evaluate the diagnostic efficiency of every histogram parameter. All the tested histogram indices significantly differed between the patients with CC - GM vs. CC - Myo, nonetheless, CC - GM yielded higher range area under the curve (AUC) value of 0.8-0.99 vs. 0.6-0.99. The additional significant difference was found among all the tested histogram indices of D*, mean, median, and 75th percentile of f, mean and 75th percentile of ADC, and 75th percentile of D discriminating early from locally advanced CCs. ROC curves indicated that the 75th percentile of D* value 28.17 × 10 The histogram analysis of IVIM parameters depicted that gluteus maximus served better reference tissue in comparison to myometrium. The histogram index 75th percentile of ADC, D, D*, and f may serve a diagnostic biomarker to differentiate the early from locally advanced stage CCs."
29953931," Cardiac ischemia/reperfusion, loss of blood flow and its subsequent restoration, causes damage to the heart. Oxidative stress from ischemia/reperfusion leads to dysfunction and death of cardiomyocytes, increasing the risk of progression to heart failure. Alterations in mitochondrial dynamics, in particular mitochondrial fission, have been suggested to play a role in cardioprotection from oxidative stress. We tested the hypothesis that activation of RhoA regulates mitochondrial fission in cardiomyocytes. Our studies show that expression of constitutively active RhoA in cardiomyocytes increases phosphorylation of Dynamin-related protein 1 (Drp1) at serine-616, and leads to localization of Drp1 at mitochondria. Both responses are blocked by inhibition of Rho-associated Protein Kinase (ROCK). Endogenous RhoA activation by the GPCR agonist sphingosine-1-phosphate (S1P) also increases Drp1 phosphorylation and its mitochondrial translocation in a RhoA and ROCK dependent manner. Consistent with the role of mitochondrial Drp1 in fission, RhoA activation in cardiomyocytes leads to formation of smaller mitochondria and this is attenuated by inhibition of ROCK, by siRNA knockdown of Drp1 or by expression of a phosphorylation-deficient Drp1 S616A mutant. In addition, activation of RhoA prevents cell death in cardiomyocytes challenged by oxidative stress and this protection is blocked by siRNA knockdown of Drp1 or by Drp1 S616A expression. Taken together our findings demonstrate that RhoA activation can regulate Drp1 to induce mitochondrial fission and subsequent cellular protection, implicating regulation of fission as a novel mechanism contributing to RhoA-mediated cardioprotection."
29953930," Although high or repeated exposure to different forms of Hg can have serious health consequences, the most important toxicity risk for humans is as methylmercury (MeHg) which exposure is mainly through consumption of fish. Generally, more than the 80% of Hg in hair is as MeHg, which is taken up by hair follicles as MeHg-cysteine complexes. In this context, hair samples were collected from 200 children (7 years) living in a site in the North East (A) and from 299 children (6-11 years) living in a urban area of South Italy (B) to determine the levels of MeHg. Considering the neurotoxicity of MeHg, children were subjected to cognitive and neuropsychological tests. The hair values of Hg in the children population groups were comparable with data reported in other international surveys. On the other hand, combining results of the neurological tests with Hg levels, a possible relationship between Hg and an increase of the errors average reported in some neurological has been noted. Although the Hg levels were not elevated, a possible neurological influence in children, a population more susceptible than adults, might not be excluded. But the influence on neurological performances of the children could be also due to the family environment (socio economic status, educational level, etc.)."
