,pathogen,disease,symptoms
420,Burkholderia mallei B.,Glanders;Glanders,"lymphadenitis,  lymphangitis,  multiple abscesses,  nasal discharge,  respiratory tract mucosa ulcer,  suppurative pneumonia,  pustule,  skin ulcer,  abdominal pain,  fatigue,  fever,  malaise,  night sweats,  weight loss, lymphadenitis,"
421,Burkholderia mallei ATCC 10399 B.,Glanders,
422,Burkholderia mallei ATCC 23344 B.,Glanders,
423,Burkholderia mallei FMH B.,Glanders,
424,Burkholderia mallei GB8 horse 4 B.,Glanders,
425,Burkholderia mallei JHU B.,Glanders,
426,Burkholderia mallei SAVP1 B.,Glanders,
427,Burkholderia multivorans B.,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
428,Burkholderia pseudomallei B.,Melioidosis;Melioidosis,"cough,  diarrhea,  disorientation,  dyspnea,  headache,  hemoptysis,  hepatosplenomegaly,  hyperthermia,  malaise,  muscle tenderness,  pleuritic chest pain,  progressive prostration,  pulmonary consolidation,  anorexia,  mild bronchitis,  muscle soreness,  pneumonia,  ataxia,  dehydration,  dry hacking cough,  listlessness,  nasal discharge,  fever,  respiratory failure,  lethargy,  blindness,  circling movement,  hyperesthesia,  lameness,  mild tetanic convulsion,  nystagmus,  yellow exudate from eyes,  yellow exudate from nose,  abortion,  hind limb paralysis,  progressive emaciation,  salivation,  severe mastitis,  acute meningoencephalitis,  colic,  eczema,  intestinal hypermotility,  keratitis,  limb edema,  lymphangitis,  papular rash,  septicemia,  weakness,  eye discharge,  uncoordinated gait,  abscess,  hemorrhage,  hyperemia,  necrotic lesion,  acute arthritis,  aggressive behavior,  continuous profuse salivation,  panting respiration,  staggering gait,  dermal abscess,  epididymitis,  granulomatous inflammation,  lymphadenitis,  myalgia,  necrosis,  severe diarrhea,  loss of appetite, cough,"
429,Burkholderia pseudomallei 1106a B.,Melioidosis,
430,Burkholderia pseudomallei 1106b B.,Melioidosis,
431,Burkholderia pseudomallei 1655 B.,Melioidosis,
432,Burkholderia pseudomallei 1710a B.,Melioidosis,
433,Burkholderia pseudomallei 1710b B.,Melioidosis,
434,Burkholderia pseudomallei 406e B.,Melioidosis,
435,Burkholderia pseudomallei 668 B.,Melioidosis,
436,Burkholderia pseudomallei K96243 B.,Melioidosis,
437,Burkholderia pyrrocinia B.,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
438,Burkholderia stabilis B.,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
439,Burkholderia vietnamiensis B.,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
440,Buttiauxella agrestis B.,"Appendicitis, wound infection",
441,Buttiauxella noackiae B.,"Appendicitis, wound infection",
442,Butyrivibrio fibrisolvens B.,Endophthalmitis,
443,Bwamba orthobunyavirus BOV,,
444,Byssochlamys spectabilis B.,,
445,California encephalitis orthobunyavirus CEOV,,
446,California encephalitis serogroup virus LEIV CESLV,,
447,California encephalitis virus  CEV,,"fever,  chills,  nausea,  vomiting,  headache,  abdominal pain,  seizure, fever,"
448,Calomys callosus C.,Bolivian hemorrhagic fever,
449,Calomys laucha C.,hantavirus pulmonary syndrome,
450,Calomys musculinus C.,Argentine hemorrhagic fever,
451,Campylobacter coli C.,"Gastroenteritis, bacteraemia",
452,Campylobacter concisus C.,"Periodontitis, appendicitis, peritonitis, head and neck infections, abscesses",
453,Campylobacter curvus C.,"Periodontitis, appendicitis, peritonitis, head and neck infections, abscesses",
454,Campylobacter fetus subsp. fetus C.,"Fever, diarrhoea, meningoencephalitis, endocarditis, abscesses",
455,Campylobacter fetus subsp. venerealis C.,Bacterial vaginosis,
456,Campylobacter gracilis C.,"Periodontitis, appendicitis, peritonitis, head and neck infections, abscesses",
457,Campylobacter hyointestinalis C.,"Diarrhoea, bacteraemia, abscess",
458,Campylobacter jejuni C.,Dysentery,"limb weakness,  loss of tendon reflex,  neurological dysfunction,  paralysis,  respiratory failure,  abdominal pain,  hemorrhagic diarrhea,  cramp,  fever,  nausea,  vomiting,  bloody stool, limb weakness,"
459,Campylobacter jejuni RM1221 C.,Campylobacteriosis,
460,Campylobacter jejuni subsp. Jejuni C.,Gastroenteritis; bacteraemia,"areflexia,  ataxia,  ophthalmoplegia,"
461,Campylobacter jejuni subsp. doylei C.,Campylobacteriosis;Gastroenteritis; bacteraemia,
462,Campylobacter jejuni subsp. jejuni C.,Gastroenteritis; bacteraemia,"areflexia,  ataxia,  ophthalmoplegia,"
463,Campylobacter lari C.,"Diarrhoea, bacteraemia, abscess",
464,Campylobacter mucosalis C.,"Gastroenteritis, bacteraemia",
465,Campylobacter rectus C.,"Periodontitis, appendicitis, peritonitis, head and neck infections, abscesses",
466,Campylobacter showae C.,"Periodontitis, appendicitis, peritonitis, head and neck infections, abscesses",
467,Campylobacter sputorum C.,"Periodontitis, appendicitis, peritonitis, head and neck infections, abscesses",
468,Campylobacter upsaliensis C.,"Diarrhoea, bacteraemia, abscess",
469,Campylobacter ureolyticus C.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
470,Candida africana C.,,
471,Candida albicans C.,,
472,Candida dubliniensis C.,,
473,Candida glabrata C.,,
474,Candida haemulonis C.,,
475,Candida intermedia C.,,
476,Candida magnoliae C.,,
477,Candida metapsilosis C.,,
478,Candida nivariensis C.,,
479,Candida orthopsilosis C.,,
480,Candida parapsilosis C.,,
481,Candida pararugosa C.,,
482,Candida pseudoaaseri C.,,
483,Candida pseudohaemulonii C.,,
484,Candida subhashii C.,,
485,Candida tropicalis C.,,
486,Candida viswanathii C.,,
487,Candida zeylanoides C.,,
488,Candidatus Helicobacter bovis C.,Gastritis,
489,Candiru phlebovirus CPV,,
490,Cano Delgadito orthohantavirus CDOV,,
491,Cao Bang orthohantavirus CBOV,,
492,Capim orthobunyavirus COV,,
493,Capnocytophaga canimorsus C.,"Wound infection, septicaemia, abscesses, meningitis, endocarditis, periodontitis, septicaemia",
494,Capnocytophaga cynodegmi C.,"Wound infection, septicaemia, abscesses, meningitis, endocarditis, periodontitis, septicaemia",
495,Capnocytophaga gingivalis C.,"Wound infection, septicaemia, abscesses, meningitis, endocarditis, periodontitis, septicaemia",
496,Capnocytophaga granulosa C.,"Wound infection, septicaemia, abscesses, meningitis, endocarditis, periodontitis, septicaemia",
497,Capnocytophaga haemolytica C.,"Wound infection, septicaemia, abscesses, meningitis, endocarditis, periodontitis, septicaemia",
498,Capnocytophaga ochracea C.,"Wound infection, septicaemia, abscesses, meningitis, endocarditis, periodontitis, septicaemia",
499,Capnocytophaga sputigena C.,"Wound infection, septicaemia, abscesses, meningitis, endocarditis, periodontitis, septicaemia",
500,Caraparu orthobunyavirus COV,,
501,Cardiobacterium hominis C.,"Endocarditis, meningitis",
502,Cardiobacterium valvarum C.,"Endocarditis, meningitis",
503,Cardiovirus A CAV,,
504,Catonella morbi C.,"Periodontitis, endodontic infection",
505,Cedar henipavirus CHV,,
506,Cedecea davisae C.,Bacteraemia,
507,Cedecea lapagei C.,Bacteraemia,
508,Cedecea neteri C.,Bacteraemia,
509,Cell fusing agent virus CFAV,,
510,Cellulomonas denverensis C.,"Bacteraemia, meningitis, pilonidal abscess, wound infection, homograft valve infection",
511,Cellulomonas hominis C.,"Bacteraemia, meningitis, pilonidal abscess, wound infection, homograft valve infection",
512,Cellulosimicrobium cellulans C.,"Meningitis, pyonephrosis, CAPD peritonitis, endophthalmitis",
513,Cellulosimicrobium funkei C.,"Meningitis, pyonephrosis, CAPD peritonitis, endophthalmitis",
514,Centipeda periodontii C.,Periodontitis,
515,Cephaliophora irregularis C.,,
516,Cephalotheca foveolata C.,,
517,Chaetomium globosum C.,,
518,Chaetomium perlucidum C.,,
519,Chandipura vesiculovirus CVV,,
520,Chaoyang virus CV,,
521,Chapare mammarenavirus CMV,Chapare hemorrhagic fever,
522,Chatanga virus CV,,
523,Chikungunya virus CV,,
524,Chlamydia abortus C.,Abortion,
525,Chlamydia pneumoniae C.,Chest infection,
526,Chlamydia psittaci C.,Psittacosis,
527,Chlamydia trachomatis C.,trachoma;inclusion conjunctivitis;lymphogranuloma venereum;Trachoma; genital infection; neonatal infection; lymphogranuloma venereum,
528,Chlamydoabsidia padenii C.,,
529,Chlamydophila psittaci C.,Psittacosis,"chills,  delirium,  dry cough,  fever,  headache,  hepatitis,  muscles ache,  pneumonia,  renal involvement,  respiratory failure,  severe headache,  depression,  loss of appetite,  nasal discharge,  ruffled feather,  weakness,  weight loss,  yellowish green diarrhea,  anorexia,  yellow dropping, chills,"
530,Chlamydophila psittaci 6BC C.,Psittacosis,
531,Chromobacterium violaceum C.,"Septicaemia, osteomyelitis, abscesses, eye infection",
532,Chryseobacterium gleum C.,"Bacteraemia, abdominal sepsis, vascular catheter sepsis",
533,Chryseobacterium indologenes C.,"Bacteraemia, abdominal sepsis, vascular catheter sepsis",
534,Chrysops C.,tularemia,
535,Chrysosporium parvum C.,adiaspiromycosis,
536,Chrysosporium tropicum C.,,
537,Citrobacter amalonaticus C.,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
538,Citrobacter braakii C.,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
539,Citrobacter farmeri C.,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
540,Citrobacter freundii C.,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
541,Citrobacter gillenii C.,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
542,Citrobacter koseri C.,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
543,Citrobacter murliniae C.,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
544,Citrobacter rodentium C.,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
545,Citrobacter sedlakii C.,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
546,Citrobacter werkmanii C.,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
547,Citrobacter youngae C.,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
548,Cladophialophora arxii C.,,
549,Cladophialophora bantiana C.,phaeohyphomycosis,
550,Cladophialophora boppii C.,,
551,Cladophialophora carrionii C.,,
552,Cladophialophora devriesii C.,,
553,Cladophialophora emmonsii C.,,
554,Cladophialophora immunda C.,,
555,Cladophialophora modesta C.,,
556,Cladophialophora mycetomatis C.,,
557,Cladophialophora samoensis C.,,
558,Cladophialophora saturnica C.,,
559,Cladosporium C.,phaeohyphomycosis,
560,Cladosporium cladosporioides C.,,
561,Cladosporium herbarum C.,,
562,Cladosporium oxysporum C.,,
563,Cladosporium sphaerospermum C.,,
564,Clavispora lusitaniae C.,,
565,Clo Mor virus CMV,,
566,Clostridioides difficile C.,"Diarrhoea, pseudomembranous colitis",
567,Clostridium argentinense C.,"Wound infection, bacteraemia, abscesses",
568,Clostridium baratii C.,"Wound infection, bacteraemia, abscesses",
569,Clostridium beijerinckii C.,"Wound infection, bacteraemia, abscesses",
570,Clostridium bolteae C.,"Wound infection, bacteraemia, abscesses",
571,Clostridium botulinum C.,Botulism;Botulism,"abdominal cramp,  disturbed vision,  constipation,  diarrhea,  double vision,  dry mouth,  dysarthria,  dysphagia,  dysphonia,  nausea,  neurological and physiological symptom,  paralysis,  peripheral muscle weakness,  respiratory paralysis,  vertigo,  vomiting,  afebrile,  bradykinesia,  change in skin color,  decreased motor response,  decreased sucking,  diminished gastro-intestinal motility,  diminished spontaneous movement,  dry mucous membrane,  floppy head,  fluctuation of heart rate,  poor feeding,  progressive weakness,  urinary retention,  weak cry, abdominal cramp,"
572,Clostridium botulinum  C.,Wound botulism;Botulism,
573,Clostridium botulinum A C.,Wound botulism,"abdominal pain,  acute cranial nerve dysfunction,  disturbed vision,  colicky pain,  dizziness,  double vision,  dry mouth,  dysphagia,  dyspnea,  facial paralysis,  gastroenteritis,  impaired gag reflex,  limb weakness,  motor weakness,  nausea,  palate weakness,  ptosis,  slurred speech,  vomiting,  absent gag reflex,  cranial nerve palsies,  diminished gag reflex,  dysarthria,  ophthalmoplegia,  arm weakness,  deltoid muscle weakness,  facial weakness,  multiple abscesses,  neck weakness,  proximal paralysis of arm and leg,  sternocleidomastoid weakness, abdominal pain,"
574,Clostridium botulinum A2 str. Kyoto C.,Infant botulism,
575,Clostridium botulinum A3 C.,Foodborne botulism,
576,Clostridium botulinum B C.,Infant botulism,
577,Clostridium botulinum B1 C.,Foodborne botulism,
578,Clostridium botulinum Ba4 C.,Infant botulism,
579,Clostridium botulinum Bf  C.,Infant botulism,
580,Clostridium botulinum C C.,Botulism,"abnormal posture,  cramp,  decreased appetite,  diarrhea,  dyspnea,  excess salivation,  eye discharge,  flaccid muscle tone,  hind limb paralysis,  paraplegia,  recumbency,  wobble,  ataxia,  extraocular muscles paralysis,  fixed dilated pupils,  inability to swallow, abnormal posture,"
581,Clostridium botulinum D C.,Botulism,"ataxia,  congestion,  hyperemia,  proteinuria, ataxia,"
582,Clostridium botulinum E C.,,"abdominal pain,  disturbed vision,  bradycardia,  constipation,  diarrhea,  dilated pupil,  dizziness,  double vision,  dry mouth,  dysarthria,  dysphagia,  dysphonia,  dyspnea,  fixed pupil,  hoarse voice,  hypotension,  mild hypotension,  nausea,  occasional diplopia,  profound weakness,  ptosis,  throat pain,  unreactive mydriasis,  urinary retention,  vomiting, abdominal pain,"
583,Clostridium botulinum E1 C.,Foodborne botulism,
584,Clostridium botulinum F C.,Hidden botulism,
585,Clostridium butyricum C.,"Wound infection, bacteraemia, abscesses",
586,Clostridium cadaveris C.,"Wound infection, bacteraemia, abscesses",
587,Clostridium carnis C.,"Wound infection, bacteraemia, abscesses",
588,Clostridium celatum C.,"Wound infection, bacteraemia, abscesses",
589,Clostridium clostridioforme C.,"Wound infection, bacteraemia, abscesses",
590,Clostridium cochlearium C.,"Wound infection, bacteraemia, abscesses",
591,Clostridium cocleatum C.,"Wound infection, bacteraemia, abscesses",
592,Clostridium fallax C.,"Wound infection, bacteraemia, abscesses",
593,Clostridium haemolyticum C.,"Wound infection, bacteraemia, abscesses",
594,Clostridium indolis C.,"Wound infection, bacteraemia, abscesses",
595,Clostridium innocuum C.,"Wound infection, bacteraemia, abscesses",
596,Clostridium leptum C.,"Wound infection, bacteraemia, abscesses",
597,Clostridium malenominatum C.,"Wound infection, bacteraemia, abscesses",
598,Clostridium moniliforme C.,"Wounds, abscesses, septicaemia, periodontitis",
599,Clostridium novyi C.,"Wound infection, bacteraemia, abscesses",
600,Clostridium paraputrificum C.,"Wound infection, bacteraemia, abscesses",
601,Clostridium perfringens C.,Enteritis;gas gangrene;Food poisoning; necrotizing enterocolitis; gas gangrene,"anemia,  anxiety,  coma,  low blood pressure,  fever,  flatulence,  hemolysis,  hypotension,  leukopenia,  muscle necrosis,  renal failure,  shock,  sweat,  toxemia,  abdominal cramp,  diarrhea,  nausea,  vomiting,  abnormal heart rhythms,  chest pain,  dyspnea,  fatigue,  inability to lie flat,  joint pain,  joint inflammation,  leg swelling,  abdominal pain,  acute painful vision loss,  chills,  cloudy cornea,  dilated pupil,  hypopyon,  intraretinal hemorrhage,  moderate conjuctival injection,  palpebral edema,  abdominal discomfort,  abdominal distention,  anorexia,  decreased milk production,  depression,  distended loops of intestines on rectal,  melena, anemia,"
602,Clostridium perfringens A C.,Necrotic Enteritis,"abdominal pain,  diarrhea,  dehydration,  nausea,  vomiting,  decreased appetite,  depression,  drowsiness,  ruffled feather,  hemorrhagic diarrhea,  hematemesis, abdominal pain,"
603,Clostridium perfringens ATCC 13124 C.,Gas Gangrene,
604,Clostridium perfringens B C.,Enterotoxemia,"pericardial effusion,  pulmonary edema, pericardial effusion,"
605,Clostridium perfringens C C.,Pigbel,"abdominal pain,  hemorrhagic diarrhea,  necrosis of jejunum,  inflammation,  ischemic necrosis of jejunum,  decreased appetite,  dehydration,  depression,  drowsiness,  ruffled feather,  colic, abdominal pain,"
606,Clostridium perfringens D C.,Enterocolitis,"pericardial effusion,  pulmonary edema, pericardial effusion,"
607,Clostridium perfringens D  C.,Enterotoxemia,
608,Clostridium perfringens E C.,Enterotoxemia,
609,Clostridium perfringens SM101 C.,Food poisoning due to Clostridium perfringens,
610,Clostridium perfringens str. 13 C.,,
611,Clostridium piliforme C.,"Wound infection, bacteraemia, abscesses",
612,Clostridium putrefaciens C.,"Wound infection, bacteraemia, abscesses",
613,Clostridium sardiniense C.,"Wound infection, bacteraemia, abscesses",
614,Clostridium septicum C.,"Wound infection, bacteraemia, abscesses",
615,Clostridium sphenoides C.,"Wound infection, bacteraemia, abscesses",
616,Clostridium sporogenes C.,"Wound infection, bacteraemia, abscesses",
617,Clostridium subterminale C.,"Wound infection, bacteraemia, abscesses",
618,Clostridium symbiosum C.,"Wound infection, bacteraemia, abscesses",
619,Clostridium tertium C.,"Wound infection, bacteraemia, abscesses",
620,Clostridium tetani C.,tetanus;Tetanus,
621,Coccidioides immitis C.,coccidioidomycosis,
622,Coccidioides posadasii C.,,
623,Cochliobolus pallescens C.,,
624,Cokeromyces recurvatus C.,,
625,Colletotrichum acutatum C.,,
626,Colletotrichum coccodes C.,,
627,Colletotrichum crassipes C.,,
628,Colletotrichum dematium C.,,
629,Colletotrichum falcatum C.,,
630,Colletotrichum gloeosporioides C.,,
631,Colletotrichum truncatum C.,,
632,Collinsella aerofaciens C.,From faecal flora. Clinical significance is undefined,
633,Colorado tick fever virus CTFV,Colorado tick fever,
634,Comamonas terrigena C.,"Bacteraemia, UTI, conjunctivitis, endocarditis, wound infection, abdominal abscess, peritonitis, meningitis",
635,Comamonas testosteroni C.,"Bacteraemia, UTI, conjunctivitis, endocarditis, wound infection, abdominal abscess, peritonitis, meningitis",
636,Conidiobolus coronatus C.,,
637,Conidiobolus incongruus C.,,
638,Conidiobolus lamprauges C.,,
639,Coniochaeta ligniaria C.,,
640,Coniochaeta lignicola C.,,
641,Coniochaeta mutabilis C.,,
642,Coprinopsis cinerea C.,,
643,Cordyceps staphylinidicola C.,,
644,Corynebacterium accolens C.,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
645,Corynebacterium afermentans C.,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
646,Corynebacterium amycolatum C.,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
647,Corynebacterium appendicis C.,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
648,Corynebacterium argentoratense C.,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
649,Corynebacterium atypicum C.,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
650,Corynebacterium aurimucosum C.,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
651,Corynebacterium auris C.,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
652,Corynebacterium bovis C.,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
653,Corynebacterium confusum C.,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
654,Corynebacterium coyleae C.,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
655,Corynebacterium diphtheriae C.,"Diphtheria, cutaneous infection",
656,Corynebacterium durum C.,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
657,Corynebacterium falsenii C.,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
658,Corynebacterium freneyi C.,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
659,Corynebacterium glucuronolyticum C.,"Diphtheria, cutaneous infection",
660,Corynebacterium imitans C.,"Diphtheria, cutaneous infection",
661,Corynebacterium jeikeium C.,"Diphtheria, cutaneous infection",
662,Corynebacterium kroppenstedtii C.,"Diphtheria, cutaneous infection",
663,Corynebacterium kutscheri C.,"Diphtheria, cutaneous infection",
664,Corynebacterium lipophiloflavum C.,"Diphtheria, cutaneous infection",
665,Corynebacterium macginleyi C.,"Diphtheria, cutaneous infection",
666,Corynebacterium matruchotii C.,"Diphtheria, cutaneous infection",
667,Corynebacterium minutissimum C.,"Erythrasma, bacteraemia, endocarditis",
668,Corynebacterium mucifaciens C.,"Diphtheria, cutaneous infection",
669,Corynebacterium mycetoides C.,"Tropical ulcer, septicaemia",
670,Corynebacterium pilosum C.,"Diphtheria, cutaneous infection",
671,Corynebacterium propinquum C.,"Diphtheria, cutaneous infection",
672,Corynebacterium pseudodiphtheriticum C.,"UTI, endocarditis, lymphadenopathy, necrotizing tracheitis",
673,Corynebacterium pseudotuberculosis C.,"Lymphadenitis, pulmonary infection",
674,Corynebacterium renale C.,"Diphtheria, cutaneous infection",
675,Corynebacterium resistens C.,"Diphtheria, cutaneous infection",
676,Corynebacterium riegelii C.,"Diphtheria, cutaneous infection",
677,Corynebacterium singulare C.,"Diphtheria, cutaneous infection",
678,Corynebacterium sp. 3010 C.,"Diphtheria, cutaneous infection",
679,Corynebacterium striatum C.,"Diphtheria, cutaneous infection",
680,Corynebacterium sundsvallense C.,"Diphtheria, cutaneous infection",
681,Corynebacterium thomssenii C.,"Diphtheria, cutaneous infection",
682,Corynebacterium tuberculostearicum C.,"Diphtheria, cutaneous infection",
683,Corynebacterium tuscaniense C.,"Diphtheria, cutaneous infection",
684,Corynebacterium ulcerans C.,"Diphtheria-like disease, pharyngitis",
685,Corynebacterium urealyticum C.,"Diphtheria, cutaneous infection",
686,Corynebacterium vitaeruminis C.,Associated with aortic aneurysm,
687,Corynebacterium xerosis C.,"Diphtheria, cutaneous infection",
688,Corynespora cassiicola C.,,
689,Cosavirus A CAV,,
690,Cote d'Ivoire ebolavirus EBOV,Ebola virus disease,
691,Cowpox virus CV,cowpox,
692,Coxiella burnetii C.,Q fever;Q fever,"chills,  fatigue,  fever,  headache,  heart failure,  myalgia,  rash,  renal failure,  sweat,  anorexia,  malaise,  night sweats,  weakness,  weight loss,  bronchopneumonia,  infertility,  low birth weight,  abortion,  hypoxemia,  abdominal pain,  diarrhea,  nausea,  vomiting, chills,"
693,Coxiella burnetii RSA 493 C.,,"chronic fatigue syndrome,  cyclic fever,  headache, chronic fatigue syndrome,"
694,Coxsackievirus CV,herpangina,
695,Coxsackievirus A16 CV,hand foot and mouth disease;herpangina,
696,Coxsackievirus A24 CV,acute hemorrhagic conjunctivitis,
697,Crimean-Congo hemorrhagic fever orthonairovirus CCHFOV,,
698,Crimean-Congo hemorrhagic fever virus CCHFV,,"fever,  myalgia,  backache,  headache,  sore eyes,  photophobia,  dizziness,  neck pain,  stiff neck,  diarrhea,  nausea,  vomiting,  hyperemia of the face,  hyperemia of the neck,  hyperemia of the chest,  congested sclera, fever,"
699,Cronobacter sakazakii C.,"Bacteraemia, respiratory tract infections, UTI",
700,Crustacea C.,shellfish allergy;crustacean allergy,
701,Cryptobacterium curtum C.,Periodontitis,
702,Cryptococcus ater C.,,
703,Cryptococcus gattii VGIII C.,,
704,Cryptococcus neoformans C.,,
705,Culex C.,Western equine encephalitis;St. Louis encephalitis;West Nile fever;Venezuelan equine encephalitis,
706,Culex <genus> C.,West Nile encephalitis;Ross River fever,
707,Culex annulirostris C.,Kunjin encephalitis;Murray Valley encephalitis,
708,Culex flavivirus CFV,,
709,Culex tritaeniorhynchus C.,Japanese encephalitis,
710,Culicoides <genus> C.,Oropouche fever,
711,Cunninghamella bertholletiae C.,,
712,Cupixi mammarenavirus CMV,,
713,Cupriavidus gilardii C.,"Meningitis, pulmonary infection in cystic fibrosis, line sepsis",
714,Cupriavidus pauculus C.,"Meningitis, pulmonary infection in cystic fibrosis, line sepsis",
715,Cupriavidus respiraculi C.,"Meningitis, pulmonary infection in cystic fibrosis, line sepsis",
716,Cupriavidus taiwanensis C.,"Meningitis, pulmonary infection in cystic fibrosis, line sepsis",
717,Curvularia brachyspora C.,,
718,Curvularia clavata C.,,
719,Curvularia geniculata C.,,
720,Curvularia hawaiiensis C.,,
721,Curvularia inaequalis C.,,
722,Curvularia lunata C.,,
723,Curvularia papendorfii C.,,
724,Curvularia senegalensis C.,,
725,Curvularia spicifera C.,,
726,Curvularia tsudae C.,,
727,Curvularia verruculosa C.,,
728,Cutaneotrichosporon curvatus C.,,
729,Cutaneotrichosporon cutaneum C.,,
730,Cutaneotrichosporon mucoides C.,,
731,Cutibacterium acnes C.,"Abscesses, endocarditis, bacteraemia, septic arthritis, endophthalmitis",
732,Cutibacterium avidum C.,"Abscesses, endocarditis, bacteraemia, septic arthritis, endophthalmitis",
733,Cutibacterium granulosum C.,"Abscesses, endocarditis, bacteraemia, septic arthritis, endophthalmitis",
734,Cyberlindnera fabianii C.,,
735,Cyberlindnera jadinii C.,,
736,Cyniclomyces guttulatus C.,,
737,Cyphellophora europaea C.,,
738,Cyphellophora laciniata C.,,
739,Cyphellophora oxyspora C.,,
740,Cyphellophora pluriseptata C.,,
741,Cyphellophora reptans C.,,
742,Cyphellophora suttonii C.,,
743,Cystobasidium minutum C.,,
744,Cystofilobasidium macerans C.,,
745,Danio rerio D.,zebrafish allergy,
746,Debaryomyces hansenii D.,,
747,Delftia acidovorans D.,"Bacteraemia, endocarditis",
748,Dengue virus DENV,Dengue hemorrhagic fever,"fever,  nausea,  vomiting,  abdominal pain,  headache,  hemorrhage,  gum bleeding,  nasal bleeding,  sudden onset of fever,  severe headache,  myalgia,  joint pain,  leukopenia,  thrombocytopenia,  rash,  shock, fever,"
749,Dengue virus  DENV,Dengue hemorrhagic fever,"fever,  nausea,  vomiting,  abdominal pain,  headache,  hemorrhage,  gum bleeding,  nasal bleeding,  shock, fever,"
750,Dengue virus 1 DENV,Dengue,"sudden onset of fever,  severe headache,  myalgia,  joint pain,  leukopenia,  thrombocytopenia,  vomiting,  rash,  nausea,  abdominal pain,  hemorrhage,  gum bleeding,  nasal bleeding,  shock, sudden onset of fever,"
751,Dengue virus 2 DENV,,"sudden onset of fever,  severe headache,  myalgia,  joint pain,  leukopenia,  thrombocytopenia,  vomiting,  rash,  nausea,  abdominal pain,  hemorrhage,  gum bleeding,  nasal bleeding,  shock, sudden onset of fever,"
752,Dengue virus 3 DENV,undocumented,"fever,  nausea,  vomiting,  abdominal pain,  headache,  hemorrhage,  gum bleeding,  nasal bleeding,  sudden onset of fever,  severe headache,  myalgia,  joint pain,  leukopenia,  thrombocytopenia,  rash,  shock, fever,"
753,Dengue virus 4 DENV,,"sudden onset of fever,  severe headache,  myalgia,  joint pain,  leukopenia,  thrombocytopenia,  vomiting,  rash,  nausea,  abdominal pain,  hemorrhage,  gum bleeding,  nasal bleeding, sudden onset of fever,"
754,Dera Ghazi Khan orthonairovirus DGKOV,,
755,Dermabacter hominis D.,"Brain abscess, bacteraemia, wound infection",
756,Dermacentor D.,Japanese spotted fever;Omsk hemorrhagic fever,
757,Dermacentor andersoni D.,Rocky Mountain spotted fever;Colorado tick fever,
758,Dermacentor marginatus D.,Siberian tick typhus,
759,Dermacentor variabilis D.,Rocky Mountain spotted fever;tularemia,
760,Dermacoccus sp. D.,Associated with aortic aneurysm,
761,Dermatophilus congolensis D.,Cutaneous infection,
