,pathogen,source,disease,tsource,ttype,portal,infection_atts,tatts,TBD
10000391,Burkholderia pseudomallei,Equus subg. Hippotigris,Melioidosis,air,airborne,unknown,PMID:15525357,PMID:15525357,
10000392,Burkholderia pseudomallei,Equus subg. Hippotigris,Melioidosis,food,vehicle-borne ingestion,digestive system,PMID:15525357,PMID:15525357,
10000393,Burkholderia pseudomallei,Tursiops truncatus,Melioidosis,not curated,contact,unknown,PMID:10860161,PMID:10860161,
10000394,Burkholderia pseudomallei,Tursiops truncatus,Melioidosis,air,airborne,unknown,PMID:10860161,PMID:10860161,
10000395,Burkholderia pseudomallei,Tursiops truncatus,Melioidosis,food,vehicle-borne ingestion,digestive system,PMID:10860161,PMID:10860161,
10000396,Burkholderia pseudomallei,Tursiops truncatus,Melioidosis,unknown,unknown,liver,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000397,Burkholderia pseudomallei,Tursiops truncatus,Melioidosis,unknown,unknown,spleen,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000398,Burkholderia pseudomallei,Tursiops truncatus,Melioidosis,unknown,unknown,lung,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000399,Burkholderia pseudomallei,Tursiops truncatus,Melioidosis,unknown,unknown,lymph node,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000400,Burkholderia pseudomallei,Tursiops truncatus,Melioidosis,unknown,unknown,kidney,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000401,Burkholderia pseudomallei,Spheniscidae,Melioidosis,not curated,contact,unknown,PMID:15525357,PMID:15525357,
10000402,Burkholderia pseudomallei,Spheniscidae,Melioidosis,air,airborne,unknown,PMID:15525357,PMID:15525357,
10000403,Burkholderia pseudomallei,Spheniscidae,Melioidosis,food,vehicle-borne ingestion,digestive system,PMID:15525357,PMID:15525357,
10000404,Burkholderia pseudomallei,Casuarius,Melioidosis,unknown,unknown,unknown,PMID:15525357,PMID:15525357,
10000405,Burkholderia pseudomallei,Cacatuidae,Melioidosis,not curated,contact,unknown,PMID:15525357;symptom=anorexia;symptom=diarrhea;symptom=lethargy,PMID:15525357,
10000406,Burkholderia pseudomallei,Cacatuidae,Melioidosis,air,airborne,unknown,PMID:15525357,PMID:15525357,
10000407,Burkholderia pseudomallei,Cacatuidae,Melioidosis,food,vehicle-borne ingestion,digestive system,PMID:15525357,PMID:15525357,
10000408,Burkholderia pseudomallei,Columbidae,Melioidosis,unknown,unknown,unknown,PMID:15525357,PMID:15525357,
10000409,Burkholderia pseudomallei,Macropodidae,Melioidosis,unknown,unknown,unknown,PMID:15525357,PMID:15525357,
10000410,Burkholderia pseudomallei,Hylobatidae,Melioidosis,not curated,contact,unknown,PMID:15525357,PMID:15525357,
10000411,Burkholderia pseudomallei,Hylobatidae,Melioidosis,air,airborne,unknown,PMID:15525357,PMID:15525357,
10000412,Burkholderia pseudomallei,Hylobatidae,Melioidosis,food,vehicle-borne ingestion,digestive system,PMID:15525357,PMID:15525357,
10000413,Burkholderia pseudomallei,Hominidae,Melioidosis,unknown,unknown,unknown,PMID:15525357,PMID:15525357,
10000414,Burkholderia pseudomallei,Ursidae,Melioidosis,not curated,contact,unknown,PMID:15525357,PMID:15525357,
10000415,Burkholderia pseudomallei,Ursidae,Melioidosis,air,airborne,unknown,PMID:15525357,PMID:15525357,
10000416,Burkholderia pseudomallei,Ursidae,Melioidosis,food,vehicle-borne ingestion,digestive system,PMID:15525357,PMID:15525357,
10000417,Burkholderia pseudomallei,Psittacidae,Melioidosis,not curated,contact,unknown,PMID:15525357;symptom=anorexia;symptom=diarrhea;symptom=lethargy,PMID:15525357,
10000418,Burkholderia pseudomallei,Psittacidae,Melioidosis,air,airborne,unknown,PMID:15525357,PMID:15525357,
10000419,Burkholderia pseudomallei,Psittacidae,Melioidosis,food,vehicle-borne ingestion,digestive system,PMID:15525357,PMID:15525357,
10000420,Burkholderia pseudomallei,Bucerotidae,Melioidosis,unknown,unknown,unknown,PMID:15525357,PMID:15525357,
10000421,Burkholderia pseudomallei,Struthionidae,Melioidosis,unknown,unknown,unknown,PMID:15525357,PMID:15525357,
10000422,Burkholderia pseudomallei,Testudinidae,Melioidosis,not curated,contact,unknown,PMID:15525357,PMID:15525357,
10000423,Burkholderia pseudomallei,Testudinidae,Melioidosis,air,airborne,unknown,PMID:15525357,PMID:15525357,
10000424,Burkholderia pseudomallei,Testudinidae,Melioidosis,food,vehicle-borne ingestion,digestive system,PMID:15525357,PMID:15525357,
10000425,Burkholderia pseudomallei,Trionychidae,Melioidosis,not curated,contact,unknown,PMID:15525357,PMID:15525357,
10000426,Burkholderia pseudomallei,Trionychidae,Melioidosis,air,airborne,unknown,PMID:15525357,PMID:15525357,
10000427,Burkholderia pseudomallei,Trionychidae,Melioidosis,food,vehicle-borne ingestion,digestive system,PMID:15525357,PMID:15525357,
10000428,Burkholderia pseudomallei,Orcinus orca,Melioidosis,not curated,contact,unknown,PMID:15525357;PMID:10860161;PMID:10860161;symptom=anorexia;symptom=listlessness;symptom=loss of appetite;symptom=fever;symptom=septicemia,PMID:15525357;PMID:10860161;PMID:10860161,
10000429,Burkholderia pseudomallei,Orcinus orca,Melioidosis,air,airborne,unknown,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000430,Burkholderia pseudomallei,Orcinus orca,Melioidosis,food,vehicle-borne ingestion,digestive system,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000431,Burkholderia pseudomallei,Orcinus orca,Melioidosis,unknown,unknown,liver,PMID:10860161,PMID:10860161,
10000432,Burkholderia pseudomallei,Orcinus orca,Melioidosis,unknown,unknown,spleen,PMID:10860161,PMID:10860161,
10000433,Burkholderia pseudomallei,Orcinus orca,Melioidosis,unknown,unknown,lung,PMID:10860161,PMID:10860161,
10000434,Burkholderia pseudomallei,Orcinus orca,Melioidosis,unknown,unknown,lymph node,PMID:10860161,PMID:10860161,
10000435,Burkholderia pseudomallei,Orcinus orca,Melioidosis,unknown,unknown,kidney,PMID:10860161,PMID:10860161,
10000436,Burkholderia pseudomallei,Pseudorca crassidens,Melioidosis,not curated,contact,unknown,PMID:15525357;PMID:10860161;PMID:10860161;symptom=anorexia;symptom=listlessness;symptom=loss of appetite;symptom=fever;symptom=septicemia,PMID:15525357;PMID:10860161;PMID:10860161,
10000437,Burkholderia pseudomallei,Pseudorca crassidens,Melioidosis,air,airborne,unknown,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000438,Burkholderia pseudomallei,Pseudorca crassidens,Melioidosis,food,vehicle-borne ingestion,digestive system,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000439,Burkholderia pseudomallei,Pseudorca crassidens,Melioidosis,unknown,unknown,liver,PMID:10860161,PMID:10860161,
10000440,Burkholderia pseudomallei,Pseudorca crassidens,Melioidosis,unknown,unknown,spleen,PMID:10860161,PMID:10860161,
10000441,Burkholderia pseudomallei,Pseudorca crassidens,Melioidosis,unknown,unknown,lung,PMID:10860161,PMID:10860161,
10000442,Burkholderia pseudomallei,Pseudorca crassidens,Melioidosis,unknown,unknown,lymph node,PMID:10860161,PMID:10860161,
10000443,Burkholderia pseudomallei,Pseudorca crassidens,Melioidosis,unknown,unknown,kidney,PMID:10860161,PMID:10860161,
10000444,Burkholderia pseudomallei,Lagenorhynchus obliquidens,Melioidosis,not curated,contact,unknown,PMID:15525357;PMID:10860161;PMID:10860161;symptom=anorexia;symptom=listlessness;symptom=loss of appetite;symptom=fever;symptom=septicemia,PMID:15525357;PMID:10860161;PMID:10860161,
10000445,Burkholderia pseudomallei,Lagenorhynchus obliquidens,Melioidosis,air,airborne,unknown,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000446,Burkholderia pseudomallei,Lagenorhynchus obliquidens,Melioidosis,food,vehicle-borne ingestion,digestive system,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000447,Burkholderia pseudomallei,Lagenorhynchus obliquidens,Melioidosis,unknown,unknown,liver,PMID:10860161,PMID:10860161,
10000448,Burkholderia pseudomallei,Lagenorhynchus obliquidens,Melioidosis,unknown,unknown,spleen,PMID:10860161,PMID:10860161,
10000449,Burkholderia pseudomallei,Lagenorhynchus obliquidens,Melioidosis,unknown,unknown,lung,PMID:10860161,PMID:10860161,
10000450,Burkholderia pseudomallei,Lagenorhynchus obliquidens,Melioidosis,unknown,unknown,lymph node,PMID:10860161,PMID:10860161,
10000451,Burkholderia pseudomallei,Lagenorhynchus obliquidens,Melioidosis,unknown,unknown,kidney,PMID:10860161,PMID:10860161,
10000452,Burkholderia pseudomallei,Zalophus californianus,Melioidosis,not curated,contact,unknown,PMID:15525357;PMID:10860161;PMID:10860161;symptom=anorexia;symptom=listlessness;symptom=loss of appetite;symptom=fever;symptom=septicemia,PMID:15525357;PMID:10860161;PMID:10860161,
10000453,Burkholderia pseudomallei,Zalophus californianus,Melioidosis,air,airborne,unknown,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000454,Burkholderia pseudomallei,Zalophus californianus,Melioidosis,food,vehicle-borne ingestion,digestive system,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000455,Burkholderia pseudomallei,Zalophus californianus,Melioidosis,unknown,unknown,liver,PMID:10860161,PMID:10860161,
10000456,Burkholderia pseudomallei,Zalophus californianus,Melioidosis,unknown,unknown,spleen,PMID:10860161,PMID:10860161,
10000457,Burkholderia pseudomallei,Zalophus californianus,Melioidosis,unknown,unknown,lung,PMID:10860161,PMID:10860161,
10000458,Burkholderia pseudomallei,Zalophus californianus,Melioidosis,unknown,unknown,lymph node,PMID:10860161,PMID:10860161,
10000459,Burkholderia pseudomallei,Zalophus californianus,Melioidosis,unknown,unknown,kidney,PMID:10860161,PMID:10860161,
10000460,Burkholderia pseudomallei,Halichoerus grypus,Melioidosis,not curated,contact,unknown,PMID:15525357;PMID:10860161;PMID:10860161;symptom=anorexia;symptom=listlessness;symptom=loss of appetite;symptom=fever;symptom=septicemia,PMID:15525357;PMID:10860161;PMID:10860161,
10000461,Burkholderia pseudomallei,Halichoerus grypus,Melioidosis,air,airborne,unknown,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000462,Burkholderia pseudomallei,Halichoerus grypus,Melioidosis,food,vehicle-borne ingestion,digestive system,PMID:15525357;PMID:10860161;PMID:10860161,PMID:15525357;PMID:10860161;PMID:10860161,
10000463,Burkholderia pseudomallei,Halichoerus grypus,Melioidosis,unknown,unknown,liver,PMID:10860161,PMID:10860161,
10000464,Burkholderia pseudomallei,Halichoerus grypus,Melioidosis,unknown,unknown,spleen,PMID:10860161,PMID:10860161,
10000465,Burkholderia pseudomallei,Halichoerus grypus,Melioidosis,unknown,unknown,lung,PMID:10860161,PMID:10860161,
10000466,Burkholderia pseudomallei,Halichoerus grypus,Melioidosis,unknown,unknown,lymph node,PMID:10860161,PMID:10860161,
10000467,Burkholderia pseudomallei,Halichoerus grypus,Melioidosis,unknown,unknown,kidney,PMID:10860161,PMID:10860161,
10000468,Burkholderia pseudomallei (Ara+ biotype),Homo sapiens,Melioidosis,unknown,unknown,unknown,PMID:11504398;PMID:10325345;PMID:10325345;PMID:15213162,PMID:11504398;PMID:10325345;PMID:10325345;PMID:15213162,
10000469,Burkholderia pseudomallei 1106a,Homo sapiens,Melioidosis,unknown,unknown,liver,,,
10000470,Burkholderia pseudomallei 1106b,Homo sapiens,Melioidosis,unknown,unknown,liver,,,
10000471,Burkholderia pseudomallei 1655,Homo sapiens,Melioidosis,unknown,unknown,respiratory system,,,
10000472,Burkholderia pseudomallei 1710a,Homo sapiens,Melioidosis,unknown,unknown,respiratory system,,,
10000473,Burkholderia pseudomallei 1710b,Homo sapiens,Melioidosis,unknown,unknown,blood,,,
10000474,Burkholderia pseudomallei 406e,Homo sapiens,Melioidosis,unknown,unknown,unknown,PMID:15213162,PMID:15213162,
10000475,Burkholderia pseudomallei 668,Homo sapiens,Melioidosis,unknown,unknown,central nervous system,,,
10000476,Burkholderia pseudomallei K96243,Homo sapiens,Melioidosis,unknown,unknown,unknown,PMID:15937190;PMID:15175308;PMID:15175308;PMID:15377794,PMID:15937190;PMID:15175308;PMID:15175308;PMID:15377794,
10000479,Campylobacter jejuni,Homo sapiens,Guillain-Barre syndrome,unknown,unknown,brain,PMID:11063843;PMID:11422570;PMID:11927019;PMID:11927019;PMID:11952223;PMID:12792145;PMID:12848765;PMID:12856224;PMID:12856224;PMID:12964782;PMID:14662945;PMID:15834016;PMID:15834016;PMID:16707059;PMID:9436731;PMID:10680793;PMID:11762201;PMID:11927019;PMID:15634991;PMID:16204541;PMID:9436731;PMID:10680793;PMID:11762201;PMID:11927019;PMID:15634991;PMID:16204541;PMID:15018590;symptom=limb weakness;symptom=loss of tendon reflex;symptom=neurological dysfunction;symptom=paralysis;symptom=respiratory failure,PMID:11063843;PMID:11422570;PMID:11927019;PMID:11927019;PMID:11952223;PMID:12792145;PMID:12848765;PMID:12856224;PMID:12856224;PMID:12964782;PMID:14662945;PMID:15834016;PMID:15834016;PMID:16707059;PMID:9436731;PMID:10680793;PMID:11762201;PMID:11927019;PMID:15634991;PMID:16204541;PMID:9436731;PMID:10680793;PMID:11762201;PMID:11927019;PMID:15634991;PMID:16204541;PMID:15018590,
10000480,Campylobacter jejuni,Homo sapiens,Gastrointestinal infections,food,vehicle-borne ingestion,gastrointestinal system,PMID:10499785;PMID:12002527;PMID:16035513;PMID:16405702;PMID:14609457;PMID:14609457;PMID:12638998;PMID:12638997,PMID:10499785;PMID:12002527;PMID:16035513;PMID:16405702;PMID:14609457;PMID:14609457;PMID:12638998;PMID:12638997,
10000481,Campylobacter jejuni,Homo sapiens,Reiter's disease,unknown,unknown,joint,PMID:11952223;PMID:16714574;PMID:16707059;PMID:16707059,PMID:11952223;PMID:16714574;PMID:16707059;PMID:16707059,
10000482,Campylobacter jejuni,Homo sapiens,Traveler's diarrhea,food,vehicle-borne ingestion,gastrointestinal system,PMID:9430530;PMID:9772320,PMID:9430530;PMID:9772320,
10000483,Campylobacter jejuni,Homo sapiens,Campylobacteriosis,food,vehicle-borne ingestion,gastrointestinal system,PMID:10332013;PMID:10852411;PMID:11237847;PMID:11283810;PMID:11320765;PMID:11427543;PMID:11762201;PMID:11927019;PMID:11957308;PMID:12593931;PMID:12825720;PMID:12825720;PMID:12887025;PMID:14510066;PMID:15005557;PMID:15207057;PMID:15216652;PMID:15826396;PMID:15932975;PMID:16050503;PMID:16117367;PMID:16138427;PMID:16138427;PMID:16366058;PMID:16405702;PMID:16409659;PMID:16455892;PMID:16629722;PMID:16757899;PMID:9825778;PMID:12493168;PMID:12504607;PMID:12639002;PMID:15496253;PMID:15906655;PMID:12493168;PMID:12504607;PMID:12639002;PMID:15496253;PMID:15906655;symptom=abdominal pain;symptom=hemorrhagic diarrhea;symptom=cramp;symptom=diarrhea;symptom=fever;symptom=nausea;symptom=vomiting,PMID:10332013;PMID:10852411;PMID:11237847;PMID:11283810;PMID:11320765;PMID:11427543;PMID:11762201;PMID:11927019;PMID:11957308;PMID:12593931;PMID:12825720;PMID:12825720;PMID:12887025;PMID:14510066;PMID:15005557;PMID:15207057;PMID:15216652;PMID:15826396;PMID:15932975;PMID:16050503;PMID:16117367;PMID:16138427;PMID:16138427;PMID:16366058;PMID:16405702;PMID:16409659;PMID:16455892;PMID:16629722;PMID:16757899;PMID:9825778;PMID:12493168;PMID:12504607;PMID:12639002;PMID:15496253;PMID:15906655;PMID:12493168;PMID:12504607;PMID:12639002;PMID:15496253;PMID:15906655,
10000484,Campylobacter jejuni,Homo sapiens,Gastroenteritis,food,vehicle-borne ingestion,gastrointestinal system,PMID:10547872;PMID:11117956;PMID:11952223;PMID:12638844;PMID:12807280;PMID:14620946;PMID:15026434;PMID:15328109;PMID:15879642;PMID:15956378;PMID:16757851;PMID:14613954;PMID:14613954;symptom=abdominal pain;symptom=hemorrhagic diarrhea;symptom=diarrhea;symptom=fever;symptom=nausea;symptom=vomiting,PMID:10547872;PMID:11117956;PMID:11952223;PMID:12638844;PMID:12807280;PMID:14620946;PMID:15026434;PMID:15328109;PMID:15879642;PMID:15956378;PMID:16757851;PMID:14613954;PMID:14613954,
10000485,Campylobacter jejuni,Homo sapiens,Bacteremia,unknown,unknown,blood,PMID:11952223,PMID:11952223,
10000486,Campylobacter jejuni,Homo sapiens,Hepatitis,unknown,unknown,liver,,,
10000487,Campylobacter jejuni,Homo sapiens,Pancreatitis,unknown,unknown,pancreas,,,
10000488,Campylobacter jejuni,Gallus gallus,Campylobacteriosis,unknown,unknown,unknown,PMID:16617982;PMID:16629722,PMID:16617982;PMID:16629722,
10000489,Campylobacter jejuni,Corvus,Campylobacteriosis,unknown,unknown,unknown,PMID:16629722,PMID:16629722,
10000490,Campylobacter jejuni,Homo sapiens,Enteritis,food,vehicle-borne ingestion,gastrointestinal system,PMID:11014768;PMID:11041145;PMID:11063843;PMID:11849513;PMID:12118535;PMID:12590328;PMID:12730525;PMID:16405702;PMID:9582032;PMID:9580737;PMID:15504280;PMID:9580737;PMID:15504280;symptom=bloody stool;symptom=diarrhea;symptom=fever;symptom=nausea;symptom=vomiting,PMID:11014768;PMID:11041145;PMID:11063843;PMID:11849513;PMID:12118535;PMID:12590328;PMID:12730525;PMID:16405702;PMID:9582032;PMID:9580737;PMID:15504280;PMID:9580737;PMID:15504280,
10000491,Campylobacter jejuni,Homo sapiens,Septicemia,unknown,unknown,unknown,PMID:16405702,PMID:16405702,
10000492,Campylobacter jejuni,Homo sapiens,Enteritis,not curated,contact,gastrointestinal system,PMID:12904420;PMID:15626945,PMID:12904420;PMID:15626945,
10000493,Campylobacter jejuni,Bos taurus,Intestinal infection due to campylobacter,unknown,unknown,gastrointestinal system,PMID:15535084,PMID:15535084,
10000494,Campylobacter jejuni,Homo sapiens,Campylobacteriosis,unknown,unknown,unknown,PMID:15216652,PMID:15216652,
10000495,Campylobacter jejuni,Homo sapiens,Miller Fisher syndrome,unknown,unknown,brain,PMID:15634991,PMID:15634991,
10000496,Campylobacter jejuni RM1221,Homo sapiens,Campylobacteriosis,food,vehicle-borne ingestion,gastrointestinal system,,,
10000497,Campylobacter jejuni subsp. doylei,Homo sapiens,Campylobacteriosis,food,vehicle-borne ingestion,gastrointestinal system,PMID:12381150;PMID:9384354,PMID:12381150;PMID:9384354,
10000498,Campylobacter jejuni subsp. jejuni,Homo sapiens,Enterocolitis,not curated,contact,gastrointestinal system,PMID:12830417;PMID:9687415;PMID:9687415,PMID:12830417;PMID:9687415;PMID:9687415,
10000499,Campylobacter jejuni subsp. jejuni 260.94,Homo sapiens,Guillain-Barre syndrome,unknown,unknown,brain,,,
10000500,Campylobacter jejuni subsp. jejuni 81-176,Homo sapiens,Campylobacteriosis,food,vehicle-borne ingestion,gastrointestinal system,PMID:4031557,PMID:4031557,
10000501,Campylobacter jejuni subsp. jejuni 84-25,Homo sapiens,Meningitis,unknown,unknown,brain,,,
10000502,Campylobacter jejuni subsp. jejuni CF93-6,Homo sapiens,Miller Fisher syndrome,unknown,unknown,brain,PMID:15883324;symptom=areflexia;symptom=ataxia;symptom=ophthalmoplegia,PMID:15883324,
10000503,Campylobacter jejuni subsp. jejuni HB93-13,Homo sapiens,Guillain-Barre syndrome,unknown,unknown,brain,,,
10000504,Campylobacter jejuni subsp. jejuni NCTC 11168,Homo sapiens,Campylobacteriosis,food,vehicle-borne ingestion,gastrointestinal system,PMID:15660156,PMID:15660156,
10000505,Campylobacter jejuni,Homo sapiens,Acute enterocolitis,unknown,unknown,gastrointestinal system,PMID:15135505,PMID:15135505,
10000506,Campylobacter jejuni,Homo sapiens,Chronic enterocolitis,unknown,unknown,gastrointestinal system,PMID:15135505,PMID:15135505,
10000507,Campylobacter jejuni,Homo sapiens,Crohn's disease,unknown,unknown,gastrointestinal system,PMID:15135505,PMID:15135505,
10000508,Campylobacter jejuni,Homo sapiens,Ulcerative Colitis,unknown,unknown,gastrointestinal system,PMID:15135505,PMID:15135505,
10000509,Campylobacter jejuni,Homo sapiens,Dysentery,unknown,unknown,gastrointestinal system,PMID:12120936;PMID:14738256,PMID:12120936;PMID:14738256,
10000510,Campylobacter jejuni,Homo sapiens,Enteritis,not curated,contact,gastrointestinal system,PMID:14652344,PMID:14652344,
10000511,Campylobacter jejuni,Struthio camelus,Campylobacteriosis,unknown,unknown,unknown,PMID:10935285,PMID:10935285,
10000512,Campylobacter jejuni,Canis lupus familiaris,Campylobacteriosis,not curated,contact,unknown,PMID:15004120;PMID:16000114;PMID:7596570,PMID:15004120;PMID:16000114;PMID:7596570,
10000513,Campylobacter jejuni,Felis catus,Campylobacteriosis,not curated,contact,unknown,PMID:15004120;PMID:16000114,PMID:15004120;PMID:16000114,
10000514,Campylobacter jejuni,Meleagris gallopavo,Campylobacteriosis,unknown,unknown,unknown,PMID:15508626,PMID:15508626,
10000515,Campylobacter jejuni,Aves,Campylobacteriosis,unknown,unknown,unknown,PMID:15956378,PMID:15956378,
10000516,Campylobacter jejuni,Simiiformes,Campylobacteriosis,unknown,unknown,unknown,PMID:15956378,PMID:15956378,
10000517,Campylobacter jejuni,Capra hircus,Campylobacteriosis,unknown,unknown,unknown,PMID:3605046,PMID:3605046,
10000518,Campylobacter jejuni,Ovis aries,Campylobacteriosis,unknown,unknown,unknown,PMID:10867319,PMID:10867319,
10000519,Campylobacter jejuni,Suidae,Campylobacteriosis,unknown,unknown,unknown,PMID:7907195,PMID:7907195,
10000520,Campylobacter jejuni subsp. jejuni 260.94,Larus ridibundus,Campylobacteriosis,unknown,unknown,unknown,PMID:12454158,PMID:12454158,
10000521,Clostridium perfringens,Homo sapiens,Gas gangrene,not curated,contact,muscle,PMID:9310664;PMID:1779929;PMID:1779929;PMID:15942103;symptom=anemia;symptom=anxiety;symptom=coma;symptom=low blood pressure;symptom=fever;symptom=flatulence;symptom=hemolysis;symptom=hypotension;symptom=leukopenia;symptom=muscle necrosis;symptom=necrosis;symptom=renal failure;symptom=shock;symptom=sweat;symptom=toxemia,PMID:9310664;PMID:1779929;PMID:1779929;PMID:15942103,
10000522,Clostridium perfringens,Homo sapiens,Gastroenteritis,food,vehicle-borne ingestion,gastrointestinal system,PMID:9217460;PMID:12574310;PMID:12574310;symptom=abdominal cramp;symptom=diarrhea;symptom=nausea;symptom=vomiting,PMID:9217460;PMID:12574310;PMID:12574310,
10000523,Clostridium perfringens,Homo sapiens,Myocarditis,unknown,unknown,heart,symptom=abnormal heart rhythms;symptom=chest pain;symptom=dyspnea;symptom=fatigue;symptom=fever;symptom=inability to lie flat;symptom=joint pain;symptom=joint inflammation;symptom=leg swelling,,
10000524,Clostridium perfringens,Homo sapiens,Gastrointestinal infections,food,vehicle-borne ingestion,gastrointestinal system,,,
10000525,Clostridium perfringens,Homo sapiens,Endophthalmitis,unknown,unknown,eye,PMID:16049539;symptom=abdominal pain;symptom=acute painful vision loss;symptom=chills;symptom=cloudy cornea;symptom=dilated pupil;symptom=fever;symptom=hypopyon;symptom=intraretinal hemorrhage;symptom=moderate conjuctival injection;symptom=palpebral edema,PMID:16049539,
10000526,Clostridium perfringens,Homo sapiens,Keratitis,unknown,unknown,eye,,,
10000527,Clostridium perfringens,Homo sapiens,Gas Gangrene,air,airborne,unknown,,,
10000528,Clostridium perfringens,Aves,Necrotic Enteritis,not curated,contact,intestine,PMID:15763720,PMID:15763720,
10000529,Clostridium perfringens,Bos taurus,Jejunal Hemorrhage Syndrome,unknown,unknown,small intestine,PMID:16187715;symptom=abdominal discomfort;symptom=abdominal distention;symptom=anorexia;symptom=decreased milk production;symptom=depression;symptom=distended loops of intestines on rectal;symptom=melena,PMID:16187715,
10000530,Clostridium perfringens,Struthio camelus,Necrotic Enteritis,unknown,unknown,small intestine,PMID:15644620,PMID:15644620,
10000531,Clostridium perfringens,Meleagris gallopavo,Necrotic Enteritis,unknown,unknown,small intestine,PMID:15644620,PMID:15644620,
10000532,Clostridium perfringens,Camelus,Enterotoxemia,unknown,unknown,unknown,PMID:8964036,PMID:8964036,
10000533,Clostridium perfringens,Oryctolagus cuniculus,Enteritis,unknown,unknown,intestine,PMID:8964036,PMID:8964036,
10000534,Clostridium perfringens,Bos taurus,Enteritis,unknown,unknown,intestine,PMID:8964036,PMID:8964036,
10000535,Clostridium perfringens,Cervus elaphus,Enteritis,unknown,unknown,intestine,PMID:8964036,PMID:8964036,
10000536,Clostridium perfringens,Felis catus,Enterotoxemia,not curated,contact,gastrointestinal system,PMID:1414094,PMID:1414094,
10000537,Clostridium perfringens,Canis lupus familiaris,Gastroenteritis,unknown,unknown,unknown,PMID:8964036,PMID:8964036,
10000538,Clostridium perfringens A,Homo sapiens,Gastroenteritis,unknown,unknown,gastrointestinal system,PMID:12944687;PMID:15978443;PMID:15978443;symptom=abdominal pain;symptom=diarrhea,PMID:12944687;PMID:15978443;PMID:15978443,
10000539,Clostridium perfringens A,Homo sapiens,Necrotic Enteritis,unknown,unknown,unknown,PMID:16489222,PMID:16489222,
10000540,Clostridium perfringens A,Homo sapiens,Gas Gangrene,not curated,contact,muscle,PMID:1779929;PMID:16489222;PMID:16489222,PMID:1779929;PMID:16489222;PMID:16489222,
10000541,Clostridium perfringens A,Homo sapiens,Enteritis,food,vehicle-borne ingestion,gastrointestinal system,PMID:15763720;PMID:1779929;PMID:1779929;PMID:12147468;PMID:12427786;symptom=abdominal pain;symptom=dehydration;symptom=diarrhea;symptom=nausea;symptom=vomiting,PMID:15763720;PMID:1779929;PMID:1779929;PMID:12147468;PMID:12427786,
10000542,Clostridium perfringens A,Homo sapiens,Enteritis,aerosol,droplet spread,gastrointestinal system,PMID:12427786;PMID:16489222;PMID:16489222,PMID:12427786;PMID:16489222;PMID:16489222,
10000543,Clostridium perfringens A,Canis lupus familiaris,Enterotoxemia,unknown,unknown,small intestine,PMID:8964036,PMID:8964036,
10000544,Clostridium perfringens A,Equus caballus,Enterocolitis,unknown,unknown,gastrointestinal system,PMID:16187713,PMID:16187713,
10000545,Clostridium perfringens A,Corvus macrorhynchos,Necrotic Enteritis,food,vehicle-borne ingestion,gastrointestinal system,PMID:14681064,PMID:14681064,
10000546,Clostridium perfringens A,Corvus macrorhynchos,Necrotic Enteritis,food,vehicle-borne ingestion,digestive system,PMID:14681064,PMID:14681064,
10000547,Clostridium perfringens A,Corvus macrorhynchos,Necrotic Enteritis,food,vehicle-borne ingestion,liver,PMID:14681064,PMID:14681064,
10000548,Clostridium perfringens A,Corvus macrorhynchos,Necrotic Enteritis,food,vehicle-borne ingestion,spleen,PMID:14681064,PMID:14681064,
10000549,Clostridium perfringens A,Anatidae,Necrotic Enteritis,unknown,unknown,gastrointestinal system,PMID:14681064,PMID:14681064,
10000550,Clostridium perfringens A,Anas,Necrotic Enteritis,unknown,unknown,unknown,PMID:14681064,PMID:14681064,
10000551,Clostridium perfringens A,Branta canadensis,Necrotic Enteritis,unknown,unknown,gastrointestinal system,PMID:14681064,PMID:14681064,
10000552,Clostridium perfringens A,Branta canadensis,Necrotic Enteritis,unknown,unknown,intestine,PMID:14681064,PMID:14681064,
10000553,Clostridium perfringens A,Branta canadensis,Necrotic Enteritis,unknown,unknown,small intestine,PMID:14681064,PMID:14681064,
